model,condition,accuracy,baseline_accuracy,accuracy_drop
SVM,original,0.9685534591194969,0.9685534591194969,0.0
SVM,gaussian_noise,0.9685534591194969,0.9685534591194969,0.0
SVM,jpeg_compression,0.9685534591194969,0.9685534591194969,0.0
SVM,dpi_downsampling,0.4968553459119497,0.9685534591194969,0.4716981132075472
SVM,random_crop,0.5723270440251572,0.9685534591194969,0.39622641509433965
SVM,bit_depth_reduction,0.9685534591194969,0.9685534591194969,0.0
SGD,original,0.9937106918238994,0.9937106918238994,0.0
SGD,gaussian_noise,0.9937106918238994,0.9937106918238994,0.0
SGD,jpeg_compression,0.9937106918238994,0.9937106918238994,0.0
SGD,dpi_downsampling,0.9559748427672956,0.9937106918238994,0.037735849056603765
SGD,random_crop,0.4968553459119497,0.9937106918238994,0.4968553459119497
SGD,bit_depth_reduction,0.9937106918238994,0.9937106918238994,0.0
